numeric,都道府県名,総数,全人口_年齢性別判明分,0歳から4歳,5歳から9歳,10歳から14歳,15歳から19歳,20歳から24歳,25歳から29歳,30歳から34歳,35歳から39歳,40歳から44歳,45歳から49歳,50歳から54歳,55歳から59歳,60歳から64歳,65歳から69歳,70歳から74歳,75歳から79歳,80歳から84歳,85歳から89歳,90歳から94歳,95歳から99歳,100歳以上,全人口_VD_vac,5歳未満_VD_vac,5歳から11歳_VD_vac,12歳以上_VD_vac,12歳から64歳_VD_vac,64歳以下_VD_vac,65歳以上_VD_vac,5歳から11歳_VD_vac,12歳から19歳_VD_vac,20代_VD_vac,30代_VD_vac,40代_VD_vac,50代_VD_vac,60歳から64歳_VD_vac,65歳から69歳_VD_vac,70代_VD_vac,80代_VD_vac,90代_VD_vac,100歳以上_VD_vac,全人口_VD_jp,10歳未満_VD_jp,10代_VD_jp,20代_VD_jp,30代_VD_jp,40代_VD_jp,50代_VD_jp,60代_VD_jp,70代_VD_jp,80代_VD_jp,90代_VD_jp,100歳以上_VD_jp,80歳以上_VD_jp
1.0,北海道,5183687,5181747,156638,187132,203762,216223,226351,228411,245520,286869,325711,389839,372043,333232,335730,374101,442686,304154,254051,178552,89762,26869,4111,5181747,156638,268636,4756473,3082187,3507461,1674286,268636,338481,454762,532389,715550,705275,335730,374101,746840,432603,116631,4111,5181747,343770,419985,454762,532389,715550,705275,709831,746840,432603,116631,4111,553345
2.0,青森県,1243081,1242614,36305,44151,48461,52881,49020,47761,52991,65626,75326,87587,87644,82602,90536,99082,110496,72162,63614,47250,22416,5915,788,1242614,36305,63537,1142772,721049,820891,421723,63537,81956,96781,118617,162913,170246,90536,99082,182658,110864,28331,788,1242614,80456,101342,96781,118617,162913,170246,189618,182658,110864,28331,788,139983
3.0,岩手県,1206479,1206138,36020,44793,49645,52659,48663,47846,53338,64230,73459,84175,80721,76969,84256,93731,101627,68015,63279,49142,25112,7469,989,1206138,36020,64653,1105465,696101,796774,409364,64653,82444,96509,117568,157634,157690,84256,93731,169642,112421,32581,989,1206138,80813,102304,96509,117568,157634,157690,177987,169642,112421,32581,989,145991
4.0,宮城県,2268355,2268244,76333,92434,97534,102804,112253,110496,120557,140107,155195,171435,158545,137046,142715,156432,174154,109254,94717,69304,35130,10337,1462,2268244,76333,131443,2060468,1409678,1617454,650790,131443,161329,222749,260664,326630,295591,142715,156432,283408,164021,45467,1462,2268244,168767,200338,222749,260664,326630,295591,299147,283408,164021,45467,1462,210950
5.0,秋田県,956836,956417,24275,30708,35643,37726,33399,32827,37633,47830,56517,64123,61915,60543,71791,81422,90958,58275,54819,45128,23607,6435,843,956417,24275,44965,887177,525690,594930,361487,44965,59112,66226,85463,120640,122458,71791,81422,149233,99947,30042,843,956417,54983,73369,66226,85463,120640,122458,153213,149233,99947,30042,843,130832
6.0,山形県,1056682,1056157,32798,39932,44435,47563,43735,41067,47332,56995,64669,70586,67183,65044,73940,82149,91449,57868,53767,43414,24052,7220,959,1056157,32798,57704,965655,604777,695279,360878,57704,74226,84802,104327,135255,132227,73940,82149,149317,97181,31272,959,1056157,72730,91998,84802,104327,135255,132227,156089,149317,97181,31272,959,129412
7.0,福島県,1841244,1840525,59129,71340,76487,84350,82008,80659,88693,102732,112983,127306,121163,115890,129560,142597,154060,94269,84883,65311,34968,10666,1471,1840525,59129,101938,1679458,1091233,1252300,588225,101938,130239,162667,191425,240289,237053,129560,142597,248329,150194,45634,1471,1840525,130469,160837,162667,191425,240289,237053,272157,248329,150194,45634,1471,197299
8.0,茨城県,2890377,2890374,95341,114907,125405,132596,140042,137006,146806,168597,186999,221015,211740,175266,175809,200081,233658,161481,128017,80963,40478,12464,1703,2890374,95341,165072,2629961,1771116,2031529,858845,165072,207836,277048,315403,408014,387006,175809,200081,395139,208980,52942,1703,2890374,210248,258001,277048,315403,408014,387006,375890,395139,208980,52942,1703,263625
9.0,栃木県,1942494,1942493,64857,78112,84648,89530,91542,92020,100230,115511,128401,149965,140351,117359,121258,136660,157707,101728,80749,54326,27855,8507,1177,1942493,64857,111969,1765667,1196958,1373784,568709,111969,140321,183562,215741,278366,257710,121258,136660,259435,135075,36362,1177,1942493,142969,174178,183562,215741,278366,257710,257918,259435,135075,36362,1177,172614
10.0,群馬県,1943667,1943567,63968,75549,85003,91503,96744,92394,95059,107027,123029,149853,144486,118185,115326,129591,157586,110688,87193,58877,30615,9505,1386,1943567,63968,109550,1770049,1184608,1358126,585441,109550,142505,189138,202086,272882,262671,115326,129591,268274,146070,40120,1386,1943567,139517,176506,189138,202086,272882,262671,244917,268274,146070,40120,1386,187576
11.0,埼玉県,7385848,7385810,259644,299375,316560,328013,382654,398794,406695,449299,500647,608737,593360,463264,405316,426651,545676,405912,316637,181767,73222,20486,3101,7385810,259644,426003,6700163,4726711,5412358,1973452,426003,517945,781448,855994,1109384,1056624,405316,426651,951588,498404,93708,3101,7385810,559019,644573,781448,855994,1109384,1056624,831967,951588,498404,93708,3101,595213
12.0,千葉県,6310875,6310821,219206,251622,267870,278976,325619,335120,342365,382726,422181,509412,501617,391118,348566,371232,474123,351212,275511,166839,72124,20263,3119,6310821,219206,358772,5732843,3998420,4576398,1734423,358772,439696,660739,725091,931593,892735,348566,371232,825335,442350,92387,3119,6310821,470828,546846,660739,725091,931593,892735,719798,825335,442350,92387,3119,537856
