pref,pref_short,pref_ja,population
全国計,全国,Zenkoku,126167
北海道,北海道,Hokkaido,5250
青森県,青森,Aomori,1246
岩手県,岩手,Iwate,1227
宮城県,宮城,Miyagi,2306
秋田県,秋田,Akita,966
山形県,山形,Yamagata,1078
福島県,福島,Fukushima,1846
茨城県,茨城,Ibaraki,2860
栃木県,栃木,Tochigi,1934
群馬県,群馬,Gunma,1942
埼玉県,埼玉,Saitama,7350
千葉県,千葉,Chiba,6259
東京都,東京,Tokyo,13921
神奈川県,神奈川,Kanagawa,9198
新潟県,新潟,Niigata,2223
富山県,富山,Toyama,1044
石川県,石川,Ishikawa,1138
福井県,福井,Fukui,768
山梨県,山梨,Yamanashi,811
長野県,長野,Nagano,2049
岐阜県,岐阜,Gifu,1987
静岡県,静岡,Shizuoka,3644
愛知県,愛知,Aichi,7552
三重県,三重,Mie,1781
滋賀県,滋賀,Shiga,1414
京都府,京都,Kyoto,2583
大阪府,大阪,Osaka,8809
兵庫県,兵庫,Hyogo,5466
奈良県,奈良,Nara,1330
和歌山県,和歌山,Wakayama,925
鳥取県,鳥取,Tottori,556
島根県,島根,Shimane,674
岡山県,岡山,Okayama,1890
広島県,広島,Hiroshima,2804
山口県,山口,Yamaguchi,1358
徳島県,徳島,Tokushima,728
香川県,香川,Kagawa,956
愛媛県,愛媛,Ehime,1339
高知県,高知,Kochi,698
福岡県,福岡,Fukuoka,5104
佐賀県,佐賀,Saga,815
長崎県,長崎,Nagasaki,1327
熊本県,熊本,Kumamoto,1748
大分県,大分,Oita,1135
宮崎県,宮崎,Miyazaki,1073
鹿児島県,鹿児島,Kagoshima,1602
沖縄県,沖縄,Okinawa,1453
