,累計_合計_修正後,累計_空港_修正後,累計_海港_修正後,新規_合計_修正後,新規_空港_修正後,新規_海港_修正後,累計_空港_取り下げ前,新規_空港_取り下げ前,取り下げ
2020-03-15,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
2020-03-16,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2020-03-17,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2020-03-18,7.0,7.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0
2020-03-19,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2020-03-20,11.0,11.0,0.0,4.0,4.0,0.0,11.0,4.0,0.0
2020-03-21,16.0,16.0,0.0,5.0,5.0,0.0,16.0,5.0,0.0
2020-03-22,17.0,17.0,0.0,1.0,1.0,0.0,17.0,1.0,0.0
2020-03-23,18.0,18.0,0.0,1.0,1.0,0.0,18.0,1.0,0.0
2020-03-24,18.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
2020-03-25,23.0,23.0,0.0,5.0,5.0,0.0,23.0,5.0,0.0
2020-03-26,23.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
2020-03-27,31.0,31.0,0.0,8.0,8.0,0.0,31.0,8.0,0.0
2020-03-28,31.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
2020-03-29,31.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
2020-03-30,51.0,51.0,0.0,20.0,20.0,0.0,51.0,20.0,0.0
2020-03-31,56.0,56.0,0.0,5.0,5.0,0.0,56.0,5.0,0.0
2020-04-01,60.0,60.0,0.0,4.0,4.0,0.0,60.0,4.0,0.0
2020-04-02,61.0,61.0,0.0,1.0,1.0,0.0,61.0,1.0,0.0
2020-04-03,65.0,65.0,0.0,4.0,4.0,0.0,65.0,4.0,0.0
2020-04-04,65.0,65.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
2020-04-05,70.0,70.0,0.0,5.0,5.0,0.0,70.0,5.0,0.0
2020-04-06,74.0,74.0,0.0,4.0,4.0,0.0,74.0,4.0,0.0
2020-04-07,74.0,74.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0
2020-04-08,86.0,86.0,0.0,12.0,12.0,0.0,86.0,12.0,0.0
2020-04-09,86.0,86.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0
2020-04-10,88.0,88.0,0.0,2.0,2.0,0.0,88.0,2.0,0.0
2020-04-11,117.0,117.0,0.0,29.0,29.0,0.0,117.0,29.0,0.0
2020-04-12,117.0,117.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0
2020-04-13,121.0,121.0,0.0,4.0,4.0,0.0,121.0,4.0,0.0
2020-04-14,121.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0
2020-04-15,125.0,125.0,0.0,4.0,4.0,0.0,125.0,4.0,0.0
2020-04-16,125.0,125.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0
2020-04-17,126.0,126.0,0.0,1.0,1.0,0.0,126.0,1.0,0.0
2020-04-18,127.0,127.0,0.0,1.0,1.0,0.0,127.0,1.0,0.0
2020-04-19,127.0,127.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0
2020-04-20,130.0,130.0,0.0,3.0,3.0,0.0,130.0,3.0,0.0
2020-04-21,131.0,131.0,0.0,1.0,1.0,0.0,131.0,1.0,0.0
2020-04-22,132.0,132.0,0.0,1.0,1.0,0.0,132.0,1.0,0.0
2020-04-23,133.0,133.0,0.0,1.0,1.0,0.0,133.0,1.0,0.0
2020-04-24,133.0,133.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0
2020-04-25,136.0,136.0,0.0,3.0,3.0,0.0,136.0,3.0,0.0
2020-04-26,138.0,138.0,0.0,2.0,2.0,0.0,138.0,2.0,0.0
2020-04-27,139.0,139.0,0.0,1.0,1.0,0.0,139.0,1.0,0.0
2020-04-28,142.0,142.0,0.0,3.0,3.0,0.0,142.0,3.0,0.0
2020-04-29,144.0,144.0,0.0,2.0,2.0,0.0,144.0,2.0,0.0
2020-04-30,146.0,146.0,0.0,2.0,2.0,0.0,146.0,2.0,0.0
2020-05-01,146.0,146.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0
2020-05-02,147.0,147.0,0.0,1.0,1.0,0.0,147.0,1.0,0.0
2020-05-03,147.0,147.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0
2020-05-04,147.0,147.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0
2020-05-05,147.0,147.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0
2020-05-06,148.0,148.0,0.0,1.0,1.0,0.0,148.0,1.0,0.0
2020-05-07,150.0,150.0,0.0,2.0,2.0,0.0,150.0,2.0,0.0
2020-05-08,151.0,151.0,0.0,1.0,1.0,0.0,151.0,1.0,0.0
2020-05-09,151.0,151.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0
2020-05-10,153.0,153.0,0.0,2.0,2.0,0.0,153.0,2.0,0.0
2020-05-11,153.0,153.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0
2020-05-12,155.0,155.0,0.0,2.0,2.0,0.0,155.0,2.0,0.0
2020-05-13,156.0,156.0,0.0,1.0,1.0,0.0,156.0,1.0,0.0
2020-05-14,156.0,156.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0
2020-05-15,156.0,156.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0
2020-05-16,158.0,158.0,0.0,2.0,2.0,0.0,158.0,2.0,0.0
2020-05-17,158.0,158.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0
2020-05-18,158.0,158.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0
2020-05-19,158.0,158.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0
2020-05-20,158.0,158.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0
2020-05-21,159.0,159.0,0.0,1.0,1.0,0.0,159.0,1.0,0.0
2020-05-22,159.0,159.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0
2020-05-23,160.0,160.0,0.0,1.0,1.0,0.0,160.0,1.0,0.0
2020-05-24,162.0,162.0,0.0,2.0,2.0,0.0,162.0,2.0,0.0
2020-05-25,163.0,163.0,0.0,1.0,1.0,0.0,163.0,1.0,0.0
2020-05-26,167.0,167.0,0.0,4.0,4.0,0.0,167.0,4.0,0.0
2020-05-27,170.0,170.0,0.0,3.0,3.0,0.0,170.0,3.0,0.0
2020-05-28,172.0,172.0,0.0,2.0,2.0,0.0,172.0,2.0,0.0
2020-05-29,182.0,182.0,0.0,10.0,10.0,0.0,182.0,10.0,0.0
2020-05-30,186.0,186.0,0.0,4.0,4.0,0.0,186.0,4.0,0.0
2020-05-31,190.0,190.0,0.0,4.0,4.0,0.0,190.0,4.0,0.0
2020-06-01,191.0,191.0,0.0,1.0,1.0,0.0,191.0,1.0,0.0
2020-06-02,192.0,192.0,0.0,1.0,1.0,0.0,192.0,1.0,0.0
2020-06-03,196.0,196.0,0.0,4.0,4.0,0.0,196.0,4.0,0.0
2020-06-04,199.0,199.0,0.0,3.0,3.0,0.0,199.0,3.0,0.0
2020-06-05,202.0,202.0,0.0,3.0,3.0,0.0,202.0,3.0,0.0
2020-06-06,203.0,203.0,0.0,1.0,1.0,0.0,203.0,1.0,0.0
2020-06-07,209.0,209.0,0.0,6.0,6.0,0.0,209.0,6.0,0.0
2020-06-08,209.0,209.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0
2020-06-09,224.0,224.0,0.0,15.0,15.0,0.0,224.0,15.0,0.0
2020-06-10,226.0,226.0,0.0,2.0,2.0,0.0,226.0,2.0,0.0
2020-06-11,227.0,227.0,0.0,1.0,1.0,0.0,227.0,1.0,0.0
2020-06-12,232.0,232.0,0.0,5.0,5.0,0.0,232.0,5.0,0.0
2020-06-13,235.0,235.0,0.0,3.0,3.0,0.0,235.0,3.0,0.0
2020-06-14,249.0,249.0,0.0,14.0,14.0,0.0,249.0,14.0,0.0
2020-06-15,261.0,261.0,0.0,12.0,12.0,0.0,261.0,12.0,0.0
2020-06-16,263.0,263.0,0.0,2.0,2.0,0.0,263.0,2.0,0.0
2020-06-17,266.0,266.0,0.0,3.0,3.0,0.0,266.0,3.0,0.0
2020-06-18,269.0,269.0,0.0,3.0,3.0,0.0,269.0,3.0,0.0
2020-06-19,272.0,272.0,0.0,3.0,3.0,0.0,272.0,3.0,0.0
2020-06-20,272.0,272.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0
2020-06-21,279.0,279.0,0.0,7.0,7.0,0.0,279.0,7.0,0.0
2020-06-22,282.0,282.0,0.0,3.0,3.0,0.0,282.0,3.0,0.0
2020-06-23,286.0,286.0,0.0,4.0,4.0,0.0,286.0,4.0,0.0
2020-06-24,293.0,293.0,0.0,7.0,7.0,0.0,293.0,7.0,0.0
2020-06-25,296.0,296.0,0.0,3.0,3.0,0.0,296.0,3.0,0.0
2020-06-26,302.0,302.0,0.0,6.0,6.0,0.0,302.0,6.0,0.0
2020-06-27,306.0,306.0,0.0,4.0,4.0,0.0,306.0,4.0,0.0
2020-06-28,307.0,307.0,0.0,1.0,1.0,0.0,307.0,1.0,0.0
2020-06-29,308.0,308.0,0.0,1.0,1.0,0.0,308.0,1.0,0.0
2020-06-30,314.0,314.0,0.0,6.0,6.0,0.0,314.0,6.0,0.0
2020-07-01,314.0,314.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0
2020-07-02,316.0,316.0,0.0,2.0,2.0,0.0,316.0,2.0,0.0
2020-07-03,317.0,317.0,0.0,1.0,1.0,0.0,317.0,1.0,0.0
2020-07-04,323.0,323.0,0.0,6.0,6.0,0.0,323.0,6.0,0.0
2020-07-05,335.0,335.0,0.0,12.0,12.0,0.0,335.0,12.0,0.0
2020-07-06,338.0,338.0,0.0,3.0,3.0,0.0,338.0,3.0,0.0
2020-07-07,343.0,343.0,0.0,5.0,5.0,0.0,343.0,5.0,0.0
2020-07-08,346.0,346.0,0.0,3.0,3.0,0.0,346.0,3.0,0.0
2020-07-09,351.0,351.0,0.0,5.0,5.0,0.0,351.0,5.0,0.0
2020-07-10,361.0,361.0,0.0,10.0,10.0,0.0,361.0,10.0,0.0
2020-07-11,374.0,374.0,0.0,13.0,13.0,0.0,374.0,13.0,0.0
2020-07-12,394.0,394.0,0.0,20.0,20.0,0.0,394.0,20.0,0.0
2020-07-13,407.0,407.0,0.0,13.0,13.0,0.0,407.0,13.0,0.0
2020-07-14,412.0,412.0,0.0,5.0,5.0,0.0,412.0,5.0,0.0
2020-07-15,425.0,425.0,0.0,13.0,13.0,0.0,425.0,13.0,0.0
2020-07-16,429.0,429.0,0.0,4.0,4.0,0.0,429.0,4.0,0.0
2020-07-17,437.0,437.0,0.0,8.0,8.0,0.0,437.0,8.0,0.0
2020-07-18,446.0,446.0,0.0,9.0,9.0,0.0,446.0,9.0,0.0
2020-07-19,455.0,455.0,0.0,9.0,9.0,0.0,455.0,9.0,0.0
2020-07-20,466.0,466.0,0.0,11.0,11.0,0.0,466.0,11.0,0.0
2020-07-21,481.0,481.0,0.0,15.0,15.0,0.0,481.0,15.0,0.0
2020-07-22,485.0,485.0,0.0,4.0,4.0,0.0,485.0,4.0,0.0
2020-07-23,500.0,500.0,0.0,15.0,15.0,0.0,500.0,15.0,0.0
2020-07-24,505.0,505.0,0.0,5.0,5.0,0.0,505.0,5.0,0.0
2020-07-25,516.0,516.0,0.0,11.0,11.0,0.0,516.0,11.0,0.0
2020-07-26,522.0,522.0,0.0,6.0,6.0,0.0,522.0,6.0,0.0
2020-07-27,540.0,540.0,0.0,18.0,18.0,0.0,540.0,18.0,0.0
2020-07-28,553.0,553.0,0.0,13.0,13.0,0.0,553.0,13.0,0.0
2020-07-29,575.0,575.0,0.0,22.0,22.0,0.0,575.0,22.0,0.0
2020-07-30,583.0,583.0,0.0,8.0,8.0,0.0,583.0,8.0,0.0
2020-07-31,588.0,588.0,0.0,5.0,5.0,0.0,588.0,5.0,0.0
2020-08-01,593.0,593.0,0.0,5.0,5.0,0.0,593.0,5.0,0.0
2020-08-02,600.0,600.0,0.0,7.0,7.0,0.0,600.0,7.0,0.0
2020-08-03,623.0,623.0,0.0,23.0,23.0,0.0,623.0,23.0,0.0
2020-08-04,629.0,629.0,0.0,6.0,6.0,0.0,629.0,6.0,0.0
2020-08-05,637.0,637.0,0.0,8.0,8.0,0.0,637.0,8.0,0.0
2020-08-06,648.0,648.0,0.0,11.0,11.0,0.0,648.0,11.0,0.0
2020-08-07,654.0,654.0,0.0,6.0,6.0,0.0,654.0,6.0,0.0
2020-08-08,663.0,663.0,0.0,9.0,9.0,0.0,663.0,9.0,0.0
2020-08-09,669.0,669.0,0.0,6.0,6.0,0.0,669.0,6.0,0.0
2020-08-10,675.0,675.0,0.0,6.0,6.0,0.0,675.0,6.0,0.0
2020-08-11,683.0,683.0,0.0,8.0,8.0,0.0,683.0,8.0,0.0
2020-08-12,688.0,688.0,0.0,5.0,5.0,0.0,688.0,5.0,0.0
2020-08-13,689.0,689.0,0.0,1.0,1.0,0.0,689.0,1.0,0.0
2020-08-14,693.0,693.0,0.0,4.0,4.0,0.0,693.0,4.0,0.0
2020-08-15,697.0,697.0,0.0,4.0,4.0,0.0,697.0,4.0,0.0
2020-08-16,700.0,700.0,0.0,3.0,3.0,0.0,700.0,3.0,0.0
2020-08-17,712.0,712.0,0.0,12.0,12.0,0.0,712.0,12.0,0.0
2020-08-18,715.0,715.0,0.0,3.0,3.0,0.0,715.0,3.0,0.0
2020-08-19,720.0,720.0,0.0,5.0,5.0,0.0,720.0,5.0,0.0
2020-08-20,728.0,728.0,0.0,8.0,8.0,0.0,728.0,8.0,0.0
2020-08-21,730.0,730.0,0.0,2.0,2.0,0.0,730.0,2.0,0.0
