date,area,category,dose,vaccine_type,new_doses,cumulative_doses,cumulative_doses_per100,denominator
2021-06-20,全国,職域,合計,合計,0,0,,
2021-07-04,全国,職域,合計,合計,1945778,1945778,,
2021-07-11,全国,職域,合計,合計,1465807,3411585,,
2021-07-18,全国,職域,合計,合計,1244860,4656445,,
2021-07-25,全国,職域,合計,合計,1364800,6021245,,
2021-06-20,全国,職域,1回目,合計,0,0,,
2021-07-04,全国,職域,1回目,合計,1945778,1945778,,
2021-07-11,全国,職域,1回目,合計,1465807,3411585,,
2021-07-18,全国,職域,1回目,合計,1244860,4656445,,
2021-07-25,全国,職域,1回目,合計,965713,5622158,,
2021-06-20,全国,職域,2回目,合計,0,0,,
2021-07-04,全国,職域,2回目,合計,0,0,,
2021-07-11,全国,職域,2回目,合計,0,0,,
2021-07-18,全国,職域,2回目,合計,0,0,,
2021-07-25,全国,職域,2回目,合計,399087,399087,,
2021-06-20,全国,職域,合計,モデルナ,0,0,,
2021-07-04,全国,職域,合計,モデルナ,1945778,1945778,,
2021-07-11,全国,職域,合計,モデルナ,1465807,3411585,,
2021-07-18,全国,職域,合計,モデルナ,1244860,4656445,,
2021-07-25,全国,職域,合計,モデルナ,1364800,6021245,,
2021-06-20,全国,職域,1回目,モデルナ,0,0,,
2021-07-04,全国,職域,1回目,モデルナ,1945778,1945778,,
2021-07-11,全国,職域,1回目,モデルナ,1465807,3411585,,
2021-07-18,全国,職域,1回目,モデルナ,1244860,4656445,,
2021-07-25,全国,職域,1回目,モデルナ,965713,5622158,,
2021-06-20,全国,職域,2回目,モデルナ,0,0,,
2021-07-04,全国,職域,2回目,モデルナ,0,0,,
2021-07-11,全国,職域,2回目,モデルナ,0,0,,
2021-07-18,全国,職域,2回目,モデルナ,0,0,,
2021-07-25,全国,職域,2回目,モデルナ,399087,399087,,
