date,area,category,dose,vaccine_type,new_doses,cumulative_doses,cumulative_doses_per100,denominator
2021-02-17,全国,医療,合計,合計,125,125,,
2021-02-18,全国,医療,合計,合計,486,611,,
2021-02-19,全国,医療,合計,合計,4428,5039,,
2021-02-20,全国,医療,合計,合計,0,5039,,
2021-02-21,全国,医療,合計,合計,0,5039,,
2021-02-22,全国,医療,合計,合計,6895,11934,,
2021-02-23,全国,医療,合計,合計,0,11934,,
2021-02-24,全国,医療,合計,合計,5954,17888,,
2021-02-25,全国,医療,合計,合計,4008,21896,,
2021-02-26,全国,医療,合計,合計,6634,28530,,
2021-02-27,全国,医療,合計,合計,0,28530,,
2021-02-28,全国,医療,合計,合計,0,28530,,
2021-03-01,全国,医療,合計,合計,3255,31785,,
2021-03-02,全国,医療,合計,合計,2987,34772,,
2021-03-03,全国,医療,合計,合計,2531,37303,,
2021-03-04,全国,医療,合計,合計,1871,39174,,
2021-03-05,全国,医療,合計,合計,7295,46469,,
2021-03-06,全国,医療,合計,合計,0,46469,,
2021-03-07,全国,医療,合計,合計,0,46469,,
2021-03-08,全国,医療,合計,合計,24327,70796,,
2021-03-09,全国,医療,合計,合計,36762,107558,,
2021-03-10,全国,医療,合計,合計,41392,148950,,
2021-03-11,全国,医療,合計,合計,32234,181184,,
2021-03-12,全国,医療,合計,合計,49358,230542,,
2021-03-13,全国,医療,合計,合計,0,230542,,
2021-03-14,全国,医療,合計,合計,0,230542,,
2021-03-15,全国,医療,合計,合計,59733,290275,,
2021-03-16,全国,医療,合計,合計,68916,359191,,
2021-03-17,全国,医療,合計,合計,78294,437485,,
2021-03-18,全国,医療,合計,合計,71217,508702,,
2021-03-19,全国,医療,合計,合計,70133,578835,,
2021-03-20,全国,医療,合計,合計,0,578835,,
2021-03-21,全国,医療,合計,合計,0,578835,,
2021-03-22,全国,医療,合計,合計,73863,652698,,
2021-03-23,全国,医療,合計,合計,46428,699126,,
2021-03-24,全国,医療,合計,合計,42054,741180,,
2021-03-25,全国,医療,合計,合計,33942,775122,,
2021-03-26,全国,医療,合計,合計,47747,822869,,
2021-03-27,全国,医療,合計,合計,0,822869,,
2021-03-28,全国,医療,合計,合計,0,822869,,
2021-03-29,全国,医療,合計,合計,67793,890662,,
2021-03-30,全国,医療,合計,合計,59069,949731,,
2021-03-31,全国,医療,合計,合計,53008,1002739,,
2021-04-01,全国,医療,合計,合計,47373,1050112,,
2021-04-02,全国,医療,合計,合計,46586,1096698,,
2021-04-03,全国,医療,合計,合計,0,1096698,,
2021-04-04,全国,医療,合計,合計,0,1096698,,
2021-04-05,全国,医療,合計,合計,100186,1196884,,
2021-04-06,全国,医療,合計,合計,91682,1288566,,
2021-04-07,全国,医療,合計,合計,104542,1393108,,
2021-04-08,全国,医療,合計,合計,94498,1487606,,
2021-04-09,全国,医療,合計,合計,104911,1592517,,
2021-04-10,全国,医療,合計,合計,0,1592517,,
2021-04-11,全国,医療,合計,合計,0,1592517,,
2021-04-12,全国,医療,合計,合計,96936,1689453,,
2021-04-13,全国,医療,合計,合計,53986,1743439,,
2021-04-14,全国,医療,合計,合計,50996,1794435,,
2021-04-15,全国,医療,合計,合計,52620,1847055,,
2021-04-16,全国,医療,合計,合計,69687,1916742,,
2021-04-17,全国,医療,合計,合計,0,1916742,,
2021-04-18,全国,医療,合計,合計,0,1916742,,
2021-04-19,全国,医療,合計,合計,119032,2035774,,
2021-04-20,全国,医療,合計,合計,126419,2162193,,
2021-04-21,全国,医療,合計,合計,152884,2315077,,
2021-04-22,全国,医療,合計,合計,150489,2465566,,
2021-04-23,全国,医療,合計,合計,177672,2643238,,
2021-04-24,全国,医療,合計,合計,0,2643238,,
2021-04-25,全国,医療,合計,合計,0,2643238,,
2021-04-26,全国,医療,合計,合計,263328,2906566,,
2021-04-27,全国,医療,合計,合計,203174,3109740,,
2021-04-28,全国,医療,合計,合計,238273,3348013,,
2021-04-29,全国,医療,合計,合計,0,3348013,,
2021-04-30,全国,医療,合計,合計,274907,3622920,,
2021-05-01,全国,医療,合計,合計,0,3622920,,
2021-05-02,全国,医療,合計,合計,0,3622920,,
2021-05-03,全国,医療,合計,合計,0,3622920,,
2021-05-04,全国,医療,合計,合計,0,3622920,,
2021-05-05,全国,医療,合計,合計,0,3622920,,
2021-05-06,全国,医療,合計,合計,331914,3954834,,
2021-05-07,全国,医療,合計,合計,140344,4095178,,
2021-05-08,全国,医療,合計,合計,0,4095178,,
2021-05-09,全国,医療,合計,合計,0,4095178,,
2021-05-10,全国,医療,合計,合計,223504,4318682,,
2021-05-11,全国,医療,合計,合計,168738,4487420,,
2021-05-12,全国,医療,合計,合計,181720,4669140,,
2021-05-13,全国,医療,合計,合計,219139,4888279,,
2021-05-14,全国,医療,合計,合計,242878,5131157,,
2021-05-15,全国,医療,合計,合計,0,5131157,,
2021-05-16,全国,医療,合計,合計,0,5131157,,
2021-05-17,全国,医療,合計,合計,349566,5480723,,
2021-05-18,全国,医療,合計,合計,250244,5730967,,
2021-05-19,全国,医療,合計,合計,267866,5998833,,
2021-05-20,全国,医療,合計,合計,190533,6189366,,
2021-05-21,全国,医療,合計,合計,249021,6438387,,
2021-05-22,全国,医療,合計,合計,0,6438387,,
2021-05-23,全国,医療,合計,合計,0,6438387,,
