prefecture,date,dose,cumulative_doses
北海道,2021-04-16,1回目,56808
北海道,2021-04-16,2回目,35371
北海道,2021-04-16,合計,92179
北海道,2021-04-23,1回目,72190
北海道,2021-04-23,2回目,43675
北海道,2021-04-23,合計,115865
北海道,2021-04-30,1回目,95871
北海道,2021-04-30,2回目,50237
北海道,2021-04-30,合計,146108
北海道,2021-05-07,1回目,110357
北海道,2021-05-07,2回目,54265
北海道,2021-05-07,合計,164622
北海道,2021-05-21,1回目,174981
北海道,2021-05-21,2回目,91717
北海道,2021-05-21,合計,266698
北海道,2021-05-28,1回目,206716
北海道,2021-05-28,2回目,106538
北海道,2021-05-28,合計,313254
北海道,2021-06-04,1回目,230646
北海道,2021-06-04,2回目,133919
北海道,2021-06-04,合計,364565
北海道,2021-06-11,1回目,250086
北海道,2021-06-11,2回目,170532
北海道,2021-06-11,合計,420618
北海道,2021-06-18,1回目,271936
北海道,2021-06-18,2回目,207168
北海道,2021-06-18,合計,479104
北海道,2021-06-25,1回目,288261
北海道,2021-06-25,2回目,230183
北海道,2021-06-25,合計,518444
北海道,2021-07-02,1回目,300156
北海道,2021-07-02,2回目,248079
北海道,2021-07-02,合計,548235
北海道,2021-07-12,1回目,314908
北海道,2021-07-12,2回目,265398
北海道,2021-07-12,合計,580306
北海道,2021-07-19,1回目,322374
北海道,2021-07-19,2回目,277680
北海道,2021-07-19,合計,600054
北海道,2021-07-26,1回目,326461
北海道,2021-07-26,2回目,286222
北海道,2021-07-26,合計,612683
北海道,2021-07-30,1回目,329121
北海道,2021-07-30,2回目,292889
北海道,2021-07-30,合計,622010
青森県,2021-04-16,1回目,13239
青森県,2021-04-16,2回目,7565
青森県,2021-04-16,合計,20804
青森県,2021-04-23,1回目,18443
青森県,2021-04-23,2回目,9899
青森県,2021-04-23,合計,28342
青森県,2021-04-30,1回目,26937
青森県,2021-04-30,2回目,11509
青森県,2021-04-30,合計,38446
青森県,2021-05-07,1回目,30210
青森県,2021-05-07,2回目,12861
青森県,2021-05-07,合計,43071
青森県,2021-05-21,1回目,40638
青森県,2021-05-21,2回目,26152
青森県,2021-05-21,合計,66790
青森県,2021-05-28,1回目,47256
青森県,2021-05-28,2回目,29051
青森県,2021-05-28,合計,76307
青森県,2021-06-04,1回目,52994
青森県,2021-06-04,2回目,33886
青森県,2021-06-04,合計,86880
青森県,2021-06-11,1回目,54745
青森県,2021-06-11,2回目,38689
青森県,2021-06-11,合計,93434
青森県,2021-06-18,1回目,57799
青森県,2021-06-18,2回目,44814
青森県,2021-06-18,合計,102613
青森県,2021-06-25,1回目,60309
青森県,2021-06-25,2回目,49502
青森県,2021-06-25,合計,109811
青森県,2021-07-02,1回目,62375
青森県,2021-07-02,2回目,52313
青森県,2021-07-02,合計,114688
青森県,2021-07-12,1回目,64273
青森県,2021-07-12,2回目,54764
青森県,2021-07-12,合計,119037
青森県,2021-07-19,1回目,66819
青森県,2021-07-19,2回目,58263
青森県,2021-07-19,合計,125082
青森県,2021-07-26,1回目,67229
青森県,2021-07-26,2回目,59009
青森県,2021-07-26,合計,126238
青森県,2021-07-30,1回目,67672
青森県,2021-07-30,2回目,59963
青森県,2021-07-30,合計,127635
岩手県,2021-04-16,1回目,12800
岩手県,2021-04-16,2回目,8726
岩手県,2021-04-16,合計,21526
岩手県,2021-04-23,1回目,21793
岩手県,2021-04-23,2回目,9282
岩手県,2021-04-23,合計,31075
岩手県,2021-04-30,1回目,30022
岩手県,2021-04-30,2回目,10604
岩手県,2021-04-30,合計,40626
岩手県,2021-05-07,1回目,37849
