date,全国,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,その他
2020-03-18,172,69,0,0,1,1,0,0,0,2,0,4,9,23,6,1,0,1,0,0,0,1,1,3,1,0,6,22,0,2,8,0,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,2,0
2020-03-19,181,69,0,0,1,1,0,0,0,2,0,4,9,24,6,1,0,2,0,0,0,1,1,3,1,0,6,22,1,2,8,0,0,0,0,0,0,0,1,11,2,0,0,0,1,0,0,2,0
2020-03-20,186,69,0,0,1,1,0,0,0,1,0,6,12,24,6,1,0,2,0,0,1,1,1,3,1,0,6,22,1,2,8,0,0,0,0,0,0,0,1,11,2,0,0,0,1,0,0,2,0
2020-03-21,223,81,0,0,1,1,0,0,0,1,0,7,14,25,12,2,0,3,0,0,1,1,1,8,1,0,7,26,2,2,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,0,0,2,0
2020-03-22,235,83,0,0,1,1,0,0,0,2,0,10,15,25,14,3,0,3,0,1,1,1,1,8,2,0,7,26,2,2,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,0,0,2,0
2020-03-23,250,90,0,0,1,1,0,0,0,2,0,11,15,26,17,3,0,3,0,1,1,1,1,8,2,1,7,27,2,3,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,0,0,2,0
2020-03-24,259,93,0,0,1,1,0,0,0,2,0,11,15,26,17,3,0,3,0,1,2,1,1,9,2,1,7,27,5,3,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,1,0,2,0
2020-03-25,260,93,0,0,1,1,0,0,0,2,0,11,15,26,17,3,0,3,0,1,2,1,2,9,2,1,7,27,5,3,9,0,0,0,0,0,0,0,1,11,2,0,0,1,1,1,0,2,0
2020-03-26,308,98,0,0,1,1,0,0,0,2,0,12,17,27,17,3,0,3,0,1,2,1,2,36,2,1,8,37,5,3,9,0,0,0,0,0,0,0,1,11,2,0,0,2,1,1,0,2,0
2020-03-27,319,98,0,0,1,1,0,0,0,2,0,13,18,28,18,3,0,3,0,2,2,1,2,36,2,1,8,41,5,3,10,0,0,0,1,0,0,0,1,11,2,0,0,2,1,1,0,2,0
2020-03-28,349,114,0,0,1,1,0,0,0,2,0,13,18,29,18,7,0,3,0,2,2,1,2,42,2,1,11,41,5,3,10,0,0,0,1,0,0,0,1,11,2,0,0,2,1,1,0,2,0
2020-03-29,408,121,0,0,1,2,0,0,0,2,0,15,19,36,20,7,0,5,0,2,3,1,2,42,2,1,13,48,18,8,13,0,0,0,1,2,1,0,2,12,2,0,0,3,1,1,0,2,0
2020-03-30,408,121,0,0,1,2,0,0,0,2,0,15,19,36,20,7,0,5,0,2,3,1,2,42,2,1,13,48,18,8,13,0,0,0,1,2,1,0,2,12,2,0,0,3,1,1,0,2,0
2020-03-31,456,124,0,0,1,2,0,0,0,2,0,15,19,37,27,10,0,5,0,2,3,2,3,47,2,2,15,70,18,8,13,0,0,0,1,3,1,0,2,12,2,0,1,3,1,1,0,2,0
2020-04-01,489,131,0,0,1,2,0,1,0,2,0,20,23,47,28,10,0,5,0,2,3,2,3,47,2,3,16,70,18,8,13,0,0,0,1,3,1,0,2,12,5,0,1,3,1,1,0,2,0
2020-04-02,498,131,0,0,1,2,0,1,0,2,0,21,26,48,28,10,0,5,0,2,3,2,3,47,2,3,18,71,18,8,14,0,0,0,1,3,1,0,2,12,5,0,1,3,1,1,0,2,0
2020-04-03,559,130,0,0,1,2,0,1,1,3,0,23,31,48,32,11,0,5,0,2,4,2,3,48,4,3,18,73,51,8,15,0,0,0,1,3,1,0,3,12,5,0,2,3,6,2,0,2,0
2020-04-04,568,130,0,0,1,2,0,1,1,3,1,23,31,48,32,11,0,5,0,2,4,2,3,48,4,3,18,80,52,8,15,0,0,0,1,3,1,0,3,12,5,0,2,3,6,2,0,2,0
2020-04-05,575,130,0,0,1,2,0,1,1,3,1,23,32,50,32,11,0,5,0,2,4,2,3,48,4,3,18,82,52,8,15,0,0,0,1,3,1,0,3,12,6,1,2,3,6,2,0,2,0
2020-04-06,605,141,0,0,1,2,0,1,1,3,1,23,32,58,32,11,0,5,1,2,4,2,3,52,4,3,18,83,53,8,15,0,0,0,1,3,1,0,4,12,6,1,2,3,8,3,0,2,0
2020-04-07,615,143,0,0,1,2,0,1,1,3,1,23,32,58,35,15,0,5,1,2,3,3,3,52,4,3,18,83,53,8,15,0,0,0,1,3,1,0,4,12,7,1,2,3,8,3,0,2,0
2020-04-08,615,143,0,0,1,2,0,1,1,3,1,23,32,58,35,15,0,5,1,2,3,3,3,52,4,3,18,83,53,8,15,0,0,0,1,3,1,0,4,12,7,1,2,3,8,3,0,2,0
2020-04-09,697,145,0,0,1,2,0,2,4,5,4,25,35,57,37,17,0,5,3,2,3,5,3,53,5,3,29,118,58,8,15,0,0,0,3,3,1,0,4,12,7,1,2,4,10,3,0,3,0
2020-04-10,745,148,3,0,1,5,0,3,7,5,5,25,37,57,44,24,0,5,6,2,3,5,3,63,5,3,29,121,59,8,15,0,0,1,3,3,1,0,4,12,7,1,2,4,10,3,0,3,0
2020-04-11,767,158,3,0,1,5,0,3,8,5,5,25,38,57,44,24,0,5,6,2,3,5,3,63,5,3,33,121,59,8,17,0,0,1,3,3,3,1,4,13,7,1,2,4,10,3,0,3,0
2020-04-12,782,158,3,0,2,5,0,3,9,5,5,26,39,57,44,24,0,5,6,2,3,5,3,63,9,3,33,127,59,8,17,0,0,1,3,3,3,1,4,14,7,1,2,4,10,3,0,3,0
