,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,全国計
2020-09-08,114,195,756,631,561,494,332,294,177,82.0,3636.0
2020-09-15,157,215,789,712,589,486,293,236,163,59.0,3699.0
2020-09-22,101,228,719,537,507,423,241,232,152,49.0,3189.0
2020-09-29,103,181,697,526,506,433,267,212,122,47.0,3094.0
2020-10-06,94,202,850,552,507,445,296,231,140,35.0,3352.0
2020-10-13,93,238,888,597,559,477,278,239,112,35.0,3516.0
2020-10-20,81,274,814,636,596,498,307,236,160,52.0,3654.0
2020-10-27,85,203,1074,641,627,568,377,297,187,67.0,4126.0
2020-11-03,102,288,1162,866,781,705,420,284,242,89.0,4939.0
2020-11-10,120,480,1626,1133,1051,928,578,470,347,134.0,6867.0
2020-11-17,182,677,2200,1574,1537,1440,879,714,485,182.0,9870.0
2020-11-24,202,665,2454,1654,1852,1753,1139,875,511,181.0,11286.0
2020-12-01,282,831,2495,1719,1792,1728,1138,1000,697,274.0,11956.0
2020-12-08,312,814,2440,1717,1859,1652,1184,1047,718,290.0,12033.0
2020-12-15,341,1251,2916,2174,2172,2003,1301,1135,766,343.0,14402.0
2020-12-22,453,1192,3661,2679,2641,2428,1508,1400,1060,392.0,17414.0
2020-12-28,538,1286,4409,3271,3288,2873,1948,1804,1306,419.0,21142.0
2021-01-05,579,1516,5717,3904,3741,3377,2081,1778,1222,452.0,24367.0
2021-01-12,1236,3089,10815,6917,6112,5726,3323,2720,1791,713.0,42442.0
2021-01-19,1340,3088,8816,5965,5895,5629,3501,3117,2198,843.0,40392.0
2021-01-26,1101,2437,5361,3885,4281,4103,2892,2744,2280,1046.0,30130.0
2021-02-02,779,1446,3461,2628,2897,2795,1979,2037,1909,809.0,20740.0
2021-02-09,517,859,2332,1841,1798,1667,1334,1416,1295,597.0,13656.0
2021-02-16,355,569,1605,1251,1283,1253,925,970,984,404.0,9599.0
2021-02-23,262,493,1362,1119,1028,1007,762,838,796,308.0,7975.0
2021-03-02,298,336,1131,878,867,776,610,748,635,284.0,6563.0
2021-03-09,253,402,1248,990,1006,911,704,789,644,205.0,7152.0
2021-03-16,292,484,1571,1094,1073,973,665,784,631,236.0,7803.0
2021-03-23,339,726,1967,1247,1202,1164,804,832,582,179.0,9042.0
2021-03-30,434,966,2897,1728,1813,1620,1118,1044,652,249.0,12521.0
2021-04-06,537,1305,4343,2513,2332,2107,1259,1049,653,221.0,16319.0
2021-04-13,687,1705,5152,3093,3157,2832,1517,1389,890,280.0,20702.0
2021-04-20,1059,2338,6056,4002,4101,3599,2175,1685,1156,408.0,26579.0
2021-04-27,1180,2715,6613,4467,4760,4120,2463,2108,1363,495.0,30284.0
2021-05-04,1293,2799,6918,4987,5097,4162,2628,2098,1311,467.0,31760.0
2021-05-11,1293,3054,8340,5312,5377,4718,2915,2395,1548,578.0,35530.0
2021-05-18,1539,3533,8926,5451,5236,4478,2828,2299,1347,558.0,36195.0
2021-05-25,1347,2613,6639,4345,4390,3739,2462,2020,1322,530.0,29407.0
2021-06-01,1010,2006,4702,3463,3310,2603,1842,1496,1016,366.0,21814.0
2021-06-08,805,1333,3339,2427,2363,1927,1285,1008,695,264.0,15446.0
2021-06-15,497,1037,2755,1790,1704,1481,882,664,435,154.0,11399.0
2021-06-22,395,937,2555,1483,1600,1278,730,489,287,116.0,9870.0
2021-06-29,512,1161,2689,1754,1672,1337,674,387,204,80.0,10470.0
2021-07-06,454,935,3128,2124,1874,1540,657,354,223,85.0,11374.0
2021-07-13,662,1387,4243,2648,2521,2003,780,426,211,50.0,14931.0
2021-07-20,1066,2347,6800,4139,3893,2952,1041,459,234,73.0,23004.0
2021-07-27,1600,3864,10889,6742,5840,4420,1434,531,294,90.0,35704.0
2021-08-03,3398,7941,23428,13951,11493,8423,2670,1066,580,182.0,73132.0
2021-08-10,5213,10443,26324,16718,15012,11067,3517,1329,807,292.0,90722.0
